Codigo de via;Clase de la via;Particula de la via;Nombre de la via;Tipo de tramo ;Nombre de la aproximacion;Numero inicial del tramo;Calificador del numero inicial del tramo;Numero final del tramo;Calificador del numero final del tramo;Zona S E R  del tramo
1500;CALLE                   ;DE    ;ABEL                                            ;par  ;NUM;2;  ;998;  ;61
1816;CALLE                   ;DE    ;ANTONIO DIAZ-CAÑABATE                           ;impar;NUM;1;  ;999;  ;36
1816;CALLE                   ;DE    ;ANTONIO DIAZ-CAÑABATE                           ;par  ;NUM;2;  ;998;  ;36
1912;PASAJE                  ;DE LAS;BELLAS VISTAS                                   ;impar;NUM;1;  ;999;  ;61
1912;PASAJE                  ;DE LAS;BELLAS VISTAS                                   ;par  ;NUM;2;  ;998;  ;61
1921;CALLE                   ;DE    ;DON JUSTO                                       ;impar;NUM;1;  ;999;  ;55
1921;CALLE                   ;DE    ;DON JUSTO                                       ;par  ;NUM;2;  ;998;  ;55
1928;CALLE                   ;DEL   ;EUCALIPTO                                       ;impar;NUM;1;  ;999;  ;54
1928;CALLE                   ;DEL   ;EUCALIPTO                                       ;par  ;NUM;2;  ;998;  ;54
1929;PASEO                   ;DE LOS;CEREZOS                                         ;impar;NUM;1;  ;999;  ;54
1929;PASEO                   ;DE LOS;CEREZOS                                         ;par  ;NUM;2;  ;998;  ;54
2295;CALLE                   ;DE    ;SANTA MARIA LA REAL DE NIEVA                    ;impar;NUM;1;  ;999;  ;21
2295;CALLE                   ;DE    ;SANTA MARIA LA REAL DE NIEVA                    ;par  ;NUM;2;  ;998;  ;21
2296;CALLE                   ;DE    ;COBOS DE SEGOVIA                                ;impar;NUM;1;  ;999;  ;21
2296;CALLE                   ;DE    ;COBOS DE SEGOVIA                                ;par  ;NUM;2;  ;998;  ;21
2297;CALLE                   ;DE    ;BERCIAL                                         ;impar;NUM;1;  ;999;  ;21
2297;CALLE                   ;DE    ;BERCIAL                                         ;par  ;NUM;2;  ;998;  ;21
2298;CALLE                   ;DE    ;PARADINAS                                       ;impar;NUM;1;  ;999;  ;21
2298;CALLE                   ;DE    ;PARADINAS                                       ;par  ;NUM;2;  ;998;  ;21
2299;CALLE                   ;DE    ;ETREROS                                         ;impar;NUM;1;  ;999;  ;21
2299;CALLE                   ;DE    ;ETREROS                                         ;par  ;NUM;2;  ;998;  ;21
2301;CALLE                   ;DE    ;SANGARCIA                                       ;impar;NUM;1;  ;999;  ;21
2301;CALLE                   ;DE    ;SANGARCIA                                       ;par  ;NUM;2;  ;998;  ;21
2302;CALLE                   ;DE LA ;CAOBA                                           ;impar;NUM;1;  ;999;  ;22
2302;CALLE                   ;DE LA ;CAOBA                                           ;par  ;NUM;2;  ;998;  ;22
2303;CALLE                   ;DEL   ;MAJUELO                                         ;impar;NUM;1;  ;999;  ;22
2303;CALLE                   ;DEL   ;MAJUELO                                         ;par  ;NUM;2;  ;998;  ;22
2304;CALLE                   ;DEL   ;PALO DE ROSA                                    ;impar;NUM;1;  ;999;  ;22
2304;CALLE                   ;DEL   ;PALO DE ROSA                                    ;par  ;NUM;2;  ;998;  ;22
2305;CALLE                   ;DE LA ;CEIBA                                           ;impar;NUM;1;  ;999;  ;22
2305;CALLE                   ;DE LA ;CEIBA                                           ;par  ;NUM;2;  ;998;  ;22
2306;CALLE                   ;DE    ;GARGANTILLA                                     ;impar;NUM;1;  ;999;  ;22
2306;CALLE                   ;DE    ;GARGANTILLA                                     ;par  ;NUM;2;  ;998;  ;22
2307;CALLE                   ;DE    ;BAÑOS DE MONTEMAYOR                             ;impar;NUM;1;  ;999;  ;22
2307;CALLE                   ;DE    ;BAÑOS DE MONTEMAYOR                             ;par  ;NUM;2;  ;998;  ;22
2308;CALLE                   ;DE    ;POZUELO DE ZARZON                               ;impar;NUM;1;  ;999;  ;22
2308;CALLE                   ;DE    ;POZUELO DE ZARZON                               ;par  ;NUM;2;  ;998;  ;22
2309;CALLE                   ;DEL   ;PARROCO EUSEBIO CUENCA                          ;impar;NUM;1;  ;999;  ;25
2309;CALLE                   ;DEL   ;PARROCO EUSEBIO CUENCA                          ;par  ;NUM;2;  ;998;  ;25
2310;CALLE                   ;DE LA ;TURMALINA                                       ;impar;NUM;1;  ;999;  ;25
2310;CALLE                   ;DE LA ;TURMALINA                                       ;par  ;NUM;2;  ;998;  ;25
2311;CALLE                   ;DEL   ;CIRCON                                          ;impar;NUM;1;  ;999;  ;25
2311;CALLE                   ;DEL   ;CIRCON                                          ;par  ;NUM;2;  ;998;  ;25
2312;CALLE                   ;DEL   ;CAOLIN                                          ;impar;NUM;1;  ;999;  ;25
2312;CALLE                   ;DEL   ;CAOLIN                                          ;par  ;NUM;2;  ;998;  ;25
2313;CALLE                   ;DEL   ;ALABASTRO                                       ;impar;NUM;1;  ;999;  ;25
2313;CALLE                   ;DEL   ;ALABASTRO                                       ;par  ;NUM;2;  ;998;  ;25
