INCIDENTID,CATEGORY,DESCRIPTION,DATE,DISTRICT,STATE,ADDRESS,asWKT
140655626,DRUG NARCOTIC,POSSESSION OF OPIUM DERIVATIVE,06-08-2014,RICHMOND,"ARREST, BOOKED",FULTON ST / 22ND AV,POINT(-122.480980581059 37.7727160507019)
140755351,TRESPASS,TRESPASSING,08-09-2014,MISSION,"ARREST, CITED",1000.0 Block of POTRERO AV,POINT(-122.406656623063 37.7568256145719)
146180164,LARCENY THEFT,GRAND THEFT FROM LOCKED AUTO,28-08-2014,PARK,NONE,100.0 Block of JOHNFKENNEDY DR,POINT(-122.456866495245 37.7710282062356)
140797933,OTHER OFFENSES,CONSPIRACY,21-09-2014,NORTHERN,"ARREST, BOOKED",3600.0 Block of BUCHANAN ST,POINT(-122.433553464779 37.8034616450256)
140764465,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",10-09-2014,MISSION,NONE,500.0 Block of DOLORES ST,POINT(-122.426035150392 37.7614054270041)
140700801,ASSAULT,INFLICT INJURY ON COHABITEE,21-08-2014,BAYVIEW,"ARREST, BOOKED",1000.0 Block of WISCONSIN ST,POINT(-122.398642169012 37.7546271517758)
140651997,LARCENY THEFT,GRAND THEFT FROM LOCKED AUTO,05-08-2014,CENTRAL,NONE,600.0 Block of PACIFIC AV,POINT(-122.406296862202 37.7970050116747)
140685899,OTHER OFFENSES,RESISTING ARREST,16-08-2014,TENDERLOIN,"ARREST, BOOKED",0.0 Block of UNITEDNATIONS PZ,POINT(-122.415103667905 37.7797530606274)
146198468,LARCENY THEFT,GRAND THEFT FROM LOCKED AUTO,24-09-2014,SOUTHERN,NONE,10TH ST / HARRISON ST,POINT(-122.411279189969 37.771578576534)
140816931,OTHER OFFENSES,TAMPERING WITH A VEHICLE,27-09-2014,NORTHERN,NONE,FERN ST / POLK ST,POINT(-122.420211964949 37.7882225424559)
140663152,KIDNAPPING,CHILD STEALING,09-08-2014,BAYVIEW,NONE,2500.0 Block of SAN BRUNO AV,POINT(-122.403983290603 37.7289074952918)
140788108,LARCENY THEFT,PETTY THEFT SHOPLIFTING,18-09-2014,CENTRAL,NONE,200.0 Block of POST ST,POINT(-122.405559943689 37.7886851628813)
140735137,LARCENY THEFT,PETTY THEFT FROM UNLOCKED AUTO,31-08-2014,TARAVAL,NONE,1800.0 Block of 25TH AV,POINT(-122.482736823436 37.7536192641372)
146166233,LARCENY THEFT,GRAND THEFT FROM UNLOCKED AUTO,06-08-2014,RICHMOND,NONE,22ND AV / FULTON ST,POINT(-122.480980581059 37.7727160507019)
140815466,LARCENY THEFT,PETTY THEFT SHOPLIFTING,27-09-2014,TARAVAL,NONE,3200.0 Block of 20TH AV,POINT(-122.476011600296 37.7290910125835)
140756274,OTHER OFFENSES,FALSE EVIDENCE OF VEHICLE REGISTRATION,08-09-2014,INGLESIDE,NONE,0.0 Block of CORA ST,POINT(-122.408331315293 37.7124887085649)
140682889,MISSING PERSON,MISSING ADULT,14-08-2014,SOUTHERN,LOCATED,0.0 Block of DORE ST,POINT(-122.412996750977 37.7738519786006)
140749821,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,05-09-2014,BAYVIEW,"ARREST, BOOKED",0.0 Block of NICHOLS WY,POINT(-122.386349331521 37.720187296364)
140671127,OTHER OFFENSES,RESISTING ARREST,11-08-2014,RICHMOND,"ARREST, BOOKED",600.0 Block of POINTLOBOS AV,POINT(-122.509988023565 37.7797076916957)
140786049,VEHICLE THEFT,STOLEN AUTOMOBILE,17-09-2014,INGLESIDE,NONE,400.0 Block of PRENTISS ST,POINT(-122.412093451482 37.7381500350261)
140736903,VEHICLE THEFT,STOLEN AUTOMOBILE,29-08-2014,NORTHERN,"ARREST, BOOKED",CLAY ST / GOUGH ST,POINT(-122.425983626213 37.7917570762359)
140782122,LARCENY THEFT,GRAND THEFT FROM LOCKED AUTO,16-09-2014,BAYVIEW,NONE,800.0 Block of CHINABASIN ST,POINT(-122.387276098006 37.7648169641336)
146200029,NON CRIMINAL,LOST PROPERTY,15-09-2014,TENDERLOIN,NONE,FULTON ST / HYDE ST,POINT(-122.415127837608 37.7797870676791)
140666582,MISSING PERSON,MISSING JUVENILE,10-08-2014,MISSION,NONE,900.0 Block of POTRERO AV,POINT(-122.406662657485 37.7568815847358)
140746764,OTHER OFFENSES,PROBATION VIOLATION,05-09-2014,CENTRAL,NONE,1200.0 Block of GREENWICH ST,POINT(-122.419739074823 37.8009908785927)
140727231,LARCENY THEFT,PETTY THEFT SHOPLIFTING,29-08-2014,PARK,NONE,600.0 Block of STANYAN ST,POINT(-122.453527289521 37.7693364936308)
140815438,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,27-09-2014,INGLESIDE,NONE,BERNALHTS BL / ANDERSON ST,POINT(-122.415016528388 37.7421835426222)
146157135,NON CRIMINAL,LOST PROPERTY,02-08-2014,SOUTHERN,NONE,500.0 Block of HOWARD ST,POINT(-122.397668021742 37.7872013883632)
140676042,ASSAULT,THREATS AGAINST LIFE,11-08-2014,INGLESIDE,NONE,300.0 Block of LOSPALMOS DR,POINT(-122.450532471936 37.7355786264656)
140827461,MISSING PERSON,MISSING ADULT,17-09-2014,NORTHERN,LOCATED,800.0 Block of ELLIS ST,POINT(-122.420492232563 37.7838536511081)
140789805,OTHER OFFENSES,VIOLATION OF MUNICIPAL POLICE CODE,19-09-2014,CENTRAL,"ARREST, CITED",500.0 Block of SUTTER ST,POINT(-122.40935278891 37.7890177014299)
140802504,NON CRIMINAL,"DEATH REPORT, CAUSE UNKNOWN",23-09-2014,MISSION,NONE,1500.0 Block of VALENCIA ST,POINT(-122.420395697644 37.7488920213051)
140647203,LARCENY THEFT,"LOST PROPERTY, PETTY THEFT",04-08-2014,CENTRAL,NONE,200.0 Block of BUSH ST,POINT(-122.40229667439 37.7909470948461)
140690086,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,17-08-2014,SOUTHERN,"ARREST, BOOKED",1000.0 Block of MISSION ST,POINT(-122.409567149673 37.7803420729383)
140785295,WARRANTS,ENROUTE TO PAROLE OFFICER,17-09-2014,NORTHERN,"ARREST, BOOKED",100.0 Block of FELL ST,POINT(-122.420662559171 37.7761878987826)
146158161,LARCENY THEFT,GRAND THEFT FROM LOCKED AUTO,07-08-2014,SOUTHERN,NONE,3RD ST / HOWARD ST,POINT(-122.400473580152 37.7850290612171)
140793470,OTHER OFFENSES,LOST/STOLEN LICENSE PLATE,18-09-2014,NORTHERN,NONE,1600.0 Block of NORTHPOINT ST,POINT(-122.434577633281 37.8040097944798)
140772123,OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,13-09-2014,MISSION,NONE,2100.0 Block of MARKET ST,POINT(-122.42911685705 37.767324334923)
140683514,VANDALISM,"MALICIOUS MISCHIEF, TIRE SLASHING",15-08-2014,SOUTHERN,"ARREST, BOOKED",100.0 Block of 6TH ST,POINT(-122.407572211707 37.7800184182821)
140659496,NON CRIMINAL,"AIDED CASE, MENTAL DISTURBED",08-08-2014,MISSION,"ARREST, CITED",TREAT AV / 25TH ST,POINT(-122.412838554019 37.7509678761055)
140763172,ASSAULT,THREATS AGAINST LIFE,09-09-2014,SOUTHERN,NONE,0.0 Block of STEVENSON ST,POINT(-122.400102184318 37.7893339429506)
140700607,NON CRIMINAL,FOUND PROPERTY,20-08-2014,MISSION,NONE,300.0 Block of CUMBERLAND ST,POINT(-122.431907302179 37.7587713643678)
140737882,BURGLARY,"BURGLARY OF FLAT, UNLAWFUL ENTRY",01-08-2014,CENTRAL,NONE,900.0 Block of GREENWICH ST,POINT(-122.415084512927 37.8015025992468)
140821087,ASSAULT,BATTERY,29-09-2014,TENDERLOIN,NONE,200.0 Block of GOLDEN GATE AV,POINT(-122.414549173944 37.7818097255504)
