BUILDID,NAME,CATEGORY,DEPARTMENT
1100,Scott Maintenance Facility/Garage,MTA,35
395,LA PLAYA/CABRILLO TERMINAL LOOP,MTA,35
1946,9TH AVE MAINTENANCE/TRANSIT POWER,MTA,35
1231,MARINA SUBSTATION F,MTA,35
544,VERMONT ST ,Other,122
50190,165 GROVE ST,Other,122
588,JUNIPERO SERRA ,Other,122
523,JUSTINE ST PARCEL,Other,122
550,LOT SURPLUS PROPERTY,Other,122
628,MARKET ST REMAINDER,Other,122
578,SAN JOSE AVE REMAINDER AT CUVIER ST,Other,122
3580,I-480 BROADWAY CLAY/WASHINGTON PARCELS,Public Works,90
1227,JUDAH SUBSTATION,MTA,35
559,SOUTHERN FWY  AT ELMIRA,Other,122
50193,SOUTHERN FWY  AT ELMIRA DPW,Public Works,90
3512,LRV STORAGE TRACKS,MTA,35
3317,WOH HEI YUEN RECREATION CENTER,Recreation & Park,42
74,PRECITA PARK,Recreation & Park,42
72,VACATED PORTION OF BOCANA ST,Recreation & Park,42
73,OPEN SPACE,Recreation & Park,42
70,BERNAL HEIGHTS,Recreation & Park,42
3,298 BERKELEY WAY,Recreation & Park,42
4,FAIRMOUNT PLAZA EXTENSION,Recreation & Park,42
5,WALTER HAAS PLAYGROUND,Recreation & Park,42
537,HESTER AVE ,Public Works,90
220,Joseph L. Alioto Performing Arts Piazza Civic Center Plaza,Recreation & Park,42
50200,MUNI METRO EAST STREET VACATION,Port,39
557,SOUTHERN FWY  AT PALOU,Public Works,90
271,MISSION OFFSTREET PARKING,Real Estate,71
640,PORTOLA DRIVE ,Public Works,90
1858,MOSCONE CENTER GARAGE,Other,36
50211,4-8 GUY PLACE,Recreation & Park,42
3668,CITY-OWNED PARCEL 0792022,Other,36
3775,CENTRAL FREEWAY PROPERTIES 808-36,Public Works,90
3771,CENTRAL FREEWAY PROPERTIES 785-029,Public Works,90
3783,CENTRAL FREEWAY PROPERTIES 855-11,Public Works,90
555,JERROLD AVE & POULTRY PL VACATED,Public Works,90
78,JOSEPH LEE RECREATION CTR,Recreation & Park,42
3773,CENTRAL FREEWAY PROPERTIES 792-28,Public Works,90
3782,CENTRAL FREEWAY PROPERTIES 761-23,Public Works,90
372,GENEVA CARBARN,MTA,42
3514,RANDOLPH SUBSTATION EASEMENT,MTA,35
3530,PHELAN LOOP,MTA,35
438,ANIMAL CONTROL FACILITY PARCEL,Other,76
1245,BALBOA SUBSTATION,MTA,35
1247,GLEN PARK SUBSTATION,MTA,35
1207,MUNI CESAR CHAVEZ ST YARD,MTA,35
1229,LAGUNA HONDA SUBSTATION RECTIFIER,MTA,35
414,M LINE R/W,MTA,35
3796,THIRD STREET LIGHT RAIL PROJECT,MTA,35
50183,ELECTRICAL SUBSTATION,MTA,35
50194,DHS OFFICE BUILDING,Other,45
491,MARINA BRANCH LIBRARY,Public Library,41
50196,PORTOLA BRANCH LIBRARY FUTURE SITE,Public Library,41
777,Juvenile Justice Center,Other,6
50204,GENEVA CARBARN,Recreation & Park,42
254,GOLDEN GATEWAY PLAZA/PUBLIC PARK,Recreation & Park,42
50205,MUNI PARTS WAREHOUSE,MTA,35
1041,HIDDEN VALLEY/LOG CABIN RANCH,Other,12
50212,53 WILDER ST,Public Library,41
543,STREET AREA NOT DEDICATED,Public Works,90
616,WET WATER RETENSION BASIN,PUC Clean Water Program,40
3763,STATE RELINQUISHMENT 1975,PUC Clean Water Program,40
3359,JAS D. PHELAN RECREATION BEACH,Recreation & Park,42
50213,MUNI SUBSTATION  KEITH AND LE CONTE,MTA,35
50214,MTA PARKING AND STORAGE,MTA,35
3455,LASH TERMINAL FACILITY,Port,39
542,CESAR CHAVEZ  ST RIGHT-OF-WAY,Public Works,90
50216,HOMELESS TRANSITIONAL HOUSING,Other,122
50215,MINT PLAZA,Public Works,90
773,SAN BRUNO JAIL COMPLEX,Other,6
50230,MOH Site,Other,122
50228,17th/Folsom Park,Recreation & Park,42
50229,Well Site,PUC Water Department,47
50231,PARCEL K,Real Estate,71
50232,PARCEL L,Real Estate,71
50233,OCTAVIA STREET ROW,Public Works,90
50234,"Declaration of Restrictions, recorded in 13-J706715",Other,0
50235,DPW Right of Way/Remainder,Public Works,90
50236,1296 Shotwell,Other,122
50237,Dearborn Gardens,Public Works,90
50238,25TH & VERMONT LEASED,Fire,0
50240,Noe Valley Town Square,Recreation & Park,42
50241,Tenderloin Housing Clinic,Real Estate,75
