BUILDID,NAME,CATEGORY,DEPARTMENT
3466,S.F. COMMUNITY COLLEGE SOP,Other,14
3469,MULLEN PERALTA OPEN SPACE,Recreation & Park,42
3474,ISLAIS CREEK LOTS AT PUTNAM,PUC Water Department,47
3475,ISLAIS CREEK LOTS AT CRESCENT,PUC Water Department,47
3476,ISLAIS CREEK LOTS AT BOYLSTON,PUC Water Department,47
3482,MUNICH STREET PUMP STATION,PUC Water Department,47
3488,REIS TRACT LOTS TUCKER,PUC Water Department,47
3491,REIS TRACT LOTS ARLETA I,PUC Water Department,47
3492,REIS TRACT LOTS ARLETA II,PUC Water Department,47
3500,DUNCAN/CASTRO STREETS,Recreation & Park,42
3505, DOROTHY ERSKINE,Recreation & Park,42
3507,MONTEREY CONSERVATORY,Recreation & Park,42
1,GLEN PARK,Recreation & Park,42
3516,HILLCREST AND OCEAN VIEW LOTS,PUC Water Department,47
50208,PATRICIAS GREEN IN HAYES VALLEY,Recreation & Park,42
3517,CENTRAL PUMP STATION/MERCED MANOR RESERVOIR,PUC Water Department,47
3523,GLEN PARK,Recreation & Park,42
3581,BROADWAY STREET,Public Works,90
3768,TENDERLOIN PRE-SCHOOL PLAYGROUND,Recreation & Park,42
933,JESSIE ST,Public Works,90
3622,O'SHAUGNESSY HOLLOW OPEN SPACE,Recreation & Park,42
3624,RINCON PARK PROPOSED,Port,39
1001,ANZA LIBRARY,Public Library,41
1286,TENDERLOIN TASK FORCE POLICE STATION,Police,38
3315,VALLEJO STREET GARAGE #2,Other,36
3633,BREWSTER AVENUE REALIGNMENT,Public Works,90
3634,UNION STREET PARCELS STAIRS,Public Works,90
3635,BROADWAY PARCEL STAIRS,Public Works,90
3322,MAIN LIBRARY,Public Library,41
3640,UNDEDICATED STREET,Public Works,90
3343,25 VAN NESS OFFICE BUILDING,Real Estate,71
3427,MISSION POLICE STATION,Police,38
3643,UNDEDICATED STREET,Public Works,90
3647,3COM PARK INTERCHANGE,Public Works,90
3648,SLUDGE TREATMENT PLANT,PUC Clean Water Program,40
1830,VICTORIA MANALO DRAVES PARK,Recreation & Park,42
3651,UNDEDICATED STREET,Public Works,90
3652,CITY-OWNED PARCEL BAY SHORE BLVD & SILVER,Public Works,90
3653,CITY-OWNED PARCEL 5434A026,Real Estate,71
3655,JOHN MCLAREN PARK PARCEL LA GRANDE AVE,Recreation & Park,42
3656,JOHN MCLAREN PARK PARCEL DUBLIN ST,Recreation & Park,42
3467,BAYVIEW POLICE STATION,Police,38
3658,JOHN MCLAREN PARK PARCEL ALBERTA ST,Recreation & Park,42
3659,SEWER RIGHT OF WAY,PUC Clean Water Program,40
3660,STATE RELINQUISHMENT,Public Works,90
3661,STATE RELINQUISHMENT,Public Works,90
3664,TRAFFIC ISLAND SAN JOSE AVE,Public Works,90
