STOPID,NAME,asWKT
3287,16th St & Guerrero St  ,POINT(-122.424256 37.76472)
3288,16th St & Harrison St  ,POINT(-122.412976 37.765523)
3289,16th St & Harrison St  ,POINT(-122.41329 37.765377)
3290,16th St & Kansas St  ,POINT(-122.403802 37.765938)
3291,16th St & Mission St  ,POINT(-122.4196 37.765143)
3292,16th St & Mission St  ,POINT(-122.41928 37.76502)
3293,16th St & Mission St  ,POINT(-122.419835 37.764983)
3295,16th St & Potrero Ave  ,POINT(-122.407669 37.765862)
3296,16th St & Potrero Ave  ,POINT(-122.407646 37.765701)
3297,16th St & San Bruno Ave  ,POINT(-122.405515 37.765861)
3299,16th St & Shotwell St  ,POINT(-122.416048 37.765218)
3300,16th St & Valencia St  ,POINT(-122.421746 37.764987)
3301,16th St & Valencia St  ,POINT(-122.422056 37.764849)
3302,16th St & Vermont St  ,POINT(-122.40469 37.766039)
3304,17th Ave & Rivera St  ,POINT(-122.47391 37.74698)
3305,17th Ave & Rivera St  ,POINT(-122.473707 37.746745)
3306,17th Ave & Santiago St  ,POINT(-122.47374 37.74511)
3307,17th St & Belvedere St  ,POINT(-122.44768 37.76176)
3309,17th St & Clayton St  ,POINT(-122.446702 37.761854)
3310,17th St & Cole St  ,POINT(-122.44898 37.76168)
3311,17th St & Castro St  ,POINT(-122.434866 37.76252)
3312,17th St & De Haro St  ,POINT(-122.401451 37.764904)
3313,17th St & De Haro St  ,POINT(-122.401711 37.764771)
3314,17th St & Diamond St  ,POINT(-122.437489 37.762415)
3317,17th St & Kansas St  ,POINT(-122.403476 37.764817)
3319,17th St & Wisconsin St  ,POINT(-122.399982 37.764991)
3320,17th St & Wisconsin St  ,POINT(-122.399284 37.764929)
3321,18th St & 3rd St  ,POINT(-122.388925 37.762992)
3322,18th St & Church St  ,POINT(-122.428195 37.76137)
3323,18th St & Church St  ,POINT(-122.428138 37.761245)
3324,18th St & Connecticut St  ,POINT(-122.397352 37.76258)
3325,18th St & Castro St  ,POINT(-122.435151 37.760952)
3326,18th St & Castro St  ,POINT(-122.434842 37.760845)
3327,18th St & Danvers St  ,POINT(-122.44354 37.760355)
3328,18th St & Danvers St  ,POINT(-122.44349 37.76024)
3329,18th St & Diamond St  ,POINT(-122.437294 37.760702)
3330,18th St & Dolores St  ,POINT(-122.426236 37.761486)
3331,18th St & Dolores St  ,POINT(-122.425927 37.761388)
3332,18th St & Eureka St  ,POINT(-122.438154 37.760765)
3333,18th St & Guerrero St  ,POINT(-122.423955 37.761619)
3334,18th St & Guerrero St  ,POINT(-122.423646 37.761521)
3335,18th St & Hattie St  ,POINT(-122.441087 37.760586)
3336,18th St & Hattie St  ,POINT(-122.440778 37.760488)
3337,18th St & Minnesota St  ,POINT(-122.390848 37.762874)
3338,18th St & Mission St  ,POINT(-122.419509 37.761895)
3339,18th St & Market St  ,POINT(-122.444445 37.759792)
3340,18th St & Noe St  ,POINT(-122.432688 37.761094)
3341,18th St & Noe St  ,POINT(-122.432905 37.76096)
3342,18th St & Pennsylvania Ave  ,POINT(-122.393471 37.762828)
3343,18th St & Pennsylvania Ave  ,POINT(-122.39322 37.762732)
3344,18th St & Sanchez St  ,POINT(-122.430464 37.761228)
3345,18th St & Sanchez St  ,POINT(-122.430682 37.761094)
3346,18th St & Texas St  ,POINT(-122.395422 37.762701)
3347,18th St & Texas St  ,POINT(-122.39516 37.762621)
3348,18th St & Valencia St  ,POINT(-122.421732 37.761762)
3349,18th St & Valencia St  ,POINT(-122.421423 37.761663)
3352,19th Ave & Buckingham Way  ,POINT(-122.475051 37.725785)
3354,19th Ave & Eucalyptus Dr  ,POINT(-122.474962 37.731175)
3355,19th Ave & Eucalyptus Dr  ,POINT(-122.47472 37.73097)
3356,19th Ave & Holloway Ave  ,POINT(-122.475302 37.72111)
3357,19TH AVE & Holloway Ave,POINT(-122.475004 37.72094)
3358,19th Ave & Holloway Ave  ,POINT(-122.475233 37.721074)
3359,19th Ave & Irving St  ,POINT(-122.47731 37.76368)
3360,19th Ave & Irving St  ,POINT(-122.47704 37.76343)
3361,19th Ave & Junipero Serra Blvd ,POINT(-122.472275 37.716889)
3362,19th Ave & Junipero Serra Blvd ,POINT(-122.47318 37.71805)
3363,19th Ave & Junipero Serra Blvd ,POINT(-122.47297 37.717323)
3364,19th Ave & Judah St  ,POINT(-122.47687 37.76158)
3365,19th Ave & Judah St  ,POINT(-122.47711 37.7614)
3366,19th Ave & Kirkham St  ,POINT(-122.47671 37.76015)
3367,19th Ave & Kirkham St  ,POINT(-122.47695 37.75995)
3368,19th Ave & Lawton St  ,POINT(-122.47654 37.75786)
3369,19th Ave & Lawton St  ,POINT(-122.476782 37.757889)
3370,19th Ave & Lincoln Way  ,POINT(-122.477197 37.765214)
3371,19th Ave & Lincoln Way  ,POINT(-122.477404 37.765375)
3372,19th Ave & Moraga St  ,POINT(-122.47669 37.75622)
3373,19th Ave & Moraga St  ,POINT(-122.47642 37.75599)
3374,19th Ave & Noriega St  ,POINT(-122.47629 37.75412)
3375,19th Ave & Noriega St  ,POINT(-122.47653 37.75392)
3376,19th Ave & Randolph St  ,POINT(-122.47167 37.7162)
3377,19th Ave & Ocean Ave  ,POINT(-122.4751 37.73279)
3378,19th Ave & Ocean Ave  ,POINT(-122.4748 37.73212)
3379,19th Ave & Ortega St  ,POINT(-122.47619 37.75272)
3380,19th Ave & Ortega St  ,POINT(-122.4764 37.75206)
3381,19th Ave & Pacheco St  ,POINT(-122.47603 37.7504)
3382,19th Ave & Pacheco St  ,POINT(-122.47627 37.7502)
3383,19th Ave & Quintara St  ,POINT(-122.4759 37.74853)
3384,19th Ave & Quintara St  ,POINT(-122.47614 37.7483)
